year,variable,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2015,solar,8759,104.29791014956045,833.0724428914959,394.0134450279713,839.5287459466565,-5863.242499999999,6465.922500000001,-0.1425,103.01249999999997,850.2179999999977,1593.0182500000024,3173.0972000000006
2015,wind_onshore,8759,-217.14511730791185,1381.7490441071996,1003.3952662975224,1398.6294896436352,-11835.695,5527.060000000001,-114.43249999999988,498.63374999999996,1266.5764999999985,1947.7300000000005,3584.69075
2015,wind_offshore,8735,-239.26683972524324,451.80038581492204,372.43270864338865,511.2228875395295,-1893.8725,1391.125,-179.84749999999997,11.521250000000014,255.2145000000001,436.7779999999997,780.9002
2015,load,8759,-3039.474020436123,2423.1578223598635,3263.6719511359743,3887.0844847727,-14714.415000000008,9949.7875,-2989.8775000000023,-1580.4174999999996,-202.2465000000026,676.9442499999979,2672.9478499999996
2016,solar,8783,19.745967209381764,701.3715020793284,337.0715780485028,701.6094916166044,-5329.710000000003,4554.432500000001,-0.1375,67.23749999999956,610.8895000000001,1111.6579999999994,2356.0786000000057
2016,wind_onshore,8783,-239.3465270978026,1231.8701120854726,879.5489955026757,1254.837820467416,-9745.104999999996,4285.655000000001,-99.15499999999976,441.16249999999945,1072.4885000000002,1526.31275,2595.561900000002
2016,wind_offshore,8783,-12.35199760901742,285.7506511427556,203.25779915746327,286.0012407567566,-2018.5750000000005,2140.9300000000003,-8.414999999999964,129.54000000000002,316.29449999999997,452.33899999999994,738.8292000000005
2016,load,8783,-3485.338187692132,2066.888487614555,3539.154739553683,4052.0518142612423,-15713.244999999995,5443.657500000001,-3259.5574999999953,-2167.844999999994,-1219.922999999998,-640.8992500000004,984.0653000000092
2017,solar,8759,-3.8943518095672993,688.7513707354351,328.95921309510214,688.723063133689,-4797.557499999999,4954.560000000001,-0.26,44.88250000000002,569.2855000000003,1059.667500000002,2154.1130000000003
2017,wind_onshore,8759,-187.18145279141453,1396.0375561730693,986.5357181185067,1408.451365707969,-7567.977500000001,12056.267500000002,-46.1550000000002,556.8700000000001,1256.0610000000004,1796.7435000000005,3057.4780999999994
2017,wind_offshore,8759,-15.299700308254362,444.62053835529167,314.0687344445713,444.85833062110333,-2582.1675,2012.2275000000009,-18.654999999999745,173.73750000000004,499.8519999999999,795.9650000000004,1313.3025
2017,load,8759,-2124.3413009475967,1804.3927587079986,2307.023724740267,2787.164774048501,-10133.569999999992,5214.047499999993,-2027.3050000000003,-984.3362500000002,32.77250000000009,696.8010000000029,1953.9739000000004
2018,solar,8759,19.232542527685823,686.1332136357494,326.4440866537276,686.3635549327612,-4789.457499999999,4508.68,-0.3775,29.98125000000102,597.4970000000002,1156.7920000000024,2408.127750000001
2018,wind_onshore,8759,-93.34831915743806,1438.3657663048814,1044.3326404269894,1441.3097460477675,-9215.527500000002,7084.702499999999,1.8199999999999363,693.5950000000004,1431.9999999999986,2072.796749999999,3787.488350000003
2018,wind_offshore,8759,15.84170082201164,553.9790204652036,393.60943914830455,554.1738690891888,-2189.22,2799.6000000000004,13.577499999999986,266.0725,641.0910000000002,963.1522500000003,1793.4703000000009
2018,load,8759,-1655.9430691288958,1890.700096004138,1979.783085683297,2513.2620592592325,-11722.155,5168.820000000007,-1525.0375000000058,-382.9699999999975,623.5820000000065,1151.908000000003,2277.5819500000034
2019,solar,8759,-16.051957415230046,676.4553206904486,333.59130893937663,676.6071413727279,-4022.022500000003,4620.9800000000005,-0.1699999999999999,24.859999999999786,555.8729999999996,1076.5947500000002,2227.545
2019,wind_onshore,8759,-152.1765329946341,1455.5885398141063,1072.2449711725083,1463.4390324680187,-8536.265,10309.6375,-76.22499999999945,658.1724999999997,1497.8504999999998,2097.862999999999,3429.4886000000006
2019,wind_offshore,8759,24.758175305400158,566.7084938794509,415.6844385774632,567.2167294454302,-2936.965,2946.2525,20.422500000000586,309.38625,700.6325000000007,984.5132500000001,1716.6131000000028
2019,load,8759,-2121.1458888000916,1954.9392078323917,2401.030645050805,2884.546907400727,-11321.585,6882.439999999995,-2132.7049999999945,-857.161250000001,286.4520000000014,1074.2112500000053,2660.938500000004
2020,solar,8783,9.300761129454632,720.4052952080344,345.79179722190594,720.4243221466264,-4341.755000000001,4444.7800000000025,-0.36,84.07499999999992,583.0449999999994,1078.0227499999983,2481.8629000000187
2020,wind_onshore,8783,-72.953251451668,1487.517505674004,1067.8318532961403,1489.2207948357031,-9112.0025,8581.372499999998,38.772500000000946,704.6724999999988,1574.5335,2246.4182499999997,3694.440950000004
2020,wind_offshore,8783,35.863150973471484,637.7588563615926,455.29476431743143,638.7301581756363,-3467.0474999999997,3098.1775,33.752500000000055,328.3962499999999,748.912,1147.62375,1980.5621500000004
2020,load,8783,-1167.8649638506206,1991.6139835289694,1820.2190051804623,2308.6756418174705,-8802.835000000006,8277.727499999994,-1107.7649999999994,100.33125000000291,1264.9825000000042,2041.7567499999982,3721.911099999992
2021,solar,8759,52.80979278456444,783.1150832590472,374.89653955931044,784.8490886442494,-6293.18,6511.717499999999,-0.3625,97.17375000000001,722.7689999999993,1336.6767500000003,2722.4647
2021,wind_onshore,8759,-25.991445655896772,1379.5074059388169,993.9142108117364,1379.6735017380254,-8562.9575,8083.485000000001,-7.9650000000001455,682.0774999999994,1486.2709999999993,2170.352750000001,3786.4737000000036
2021,wind_offshore,8759,-3.708461296951711,616.4680664470222,428.03207015641055,616.4440298459197,-2821.88,3930.86,18.60499999999999,266.70874999999995,653.9740000000002,983.569000000001,1930.8125499999994
2021,load,8759,-1764.1311071469345,2308.176894200328,2267.3810826007534,2905.035436268297,-10892.214999999997,8732.340000000004,-1578.645000000004,-265.03749999999854,914.517499999994,1706.5629999999944,3780.0308999999993
2022,solar,8759,-36.94563391939719,856.101996184312,427.45355776915176,856.8500058865166,-4900.157500000001,7589.914999999999,-3.3075,40.45750000000002,675.2784999999986,1297.3722499999994,2680.072200000001
2022,wind_onshore,8759,-210.15963523233242,1497.0292470143943,1065.9202032195456,1511.6242180343936,-8312.07,10719.454999999998,-154.66249999999854,515.4075,1402.6954999999987,2160.8589999999995,4246.556750000004
2022,wind_offshore,8759,12.082891597214296,652.4418037337797,456.63104264185404,652.5164398990296,-2874.48,3878.52,9.764999999999986,288.18625,774.8600000000004,1141.8297500000006,1914.4245500000002
2022,load,8759,772.0873844046124,2694.190516721662,2195.7899765955017,2802.490456808542,-9580.002500000002,10265.762500000004,703.0399999999936,2550.5550000000003,4261.265999999994,5250.914500000004,6971.097249999997
2023,solar,8759,-7.086709670053652,918.0070680263525,437.81407067016784,917.9820175611959,-7092.267500000002,5904.32,-2.925,48.28624999999999,744.8824999999999,1424.215500000002,2817.19165
2023,wind_onshore,8759,-51.10099611827835,1692.3299695682858,1186.5898532937551,1693.004743625441,-7299.149999999998,13563.0575,-16.662499999999454,761.9775,1710.9189999999999,2508.1597500000007,5036.642850000003
2023,wind_offshore,8759,-35.35844360086768,799.2128691522573,565.7683979335541,799.949064481318,-3536.32,4093.575,-42.35249999999997,279.95,914.7149999999999,1464.7252500000004,2373.06905
2023,load,8759,171.77689662061883,2384.697798768026,1942.9642370704416,2390.7408147553924,-7024.625,8754.192499999997,191.81249999999272,1871.4087499999987,3203.0920000000024,3923.9902499999985,5700.290050000002
2024,solar,8783,99.53328731640667,1159.7978331975482,568.6890342138221,1163.9951621529824,-6972.1275000000005,9135.392500000002,-4.5875,105.96125000000029,1195.004499999999,2123.9232499999985,4190.891950000001
2024,wind_onshore,8783,-23.95618382101788,1597.8246872512264,1125.7150253330296,1597.9133110984887,-9633.165,12429.1525,-14.694999999999707,707.89,1775.1694999999988,2652.8302499999977,4499.096150000001
2024,wind_offshore,8783,45.26965359216669,808.1684010154783,569.1856743140157,809.3893638172464,-3323.5024999999996,4778.6575,9.912500000000364,381.40874999999994,985.6530000000004,1457.4657499999994,2684.5422
2024,load,8783,-400.4314265049528,2519.8398934637735,1962.4254344764888,2551.3164199612856,-9321.082499999997,9328.0075,-286.82250000000204,1246.6674999999996,2621.459499999995,3552.0925000000007,5318.00285000001
2025,solar,8759,-38.53756515572556,1337.7318825000134,677.3870416073753,1338.210531345939,-7467.902447,10417.074271,-8.819369,47.70173274999999,1145.9715000000008,2202.7618227000003,4071.3200864
2025,wind_onshore,8759,-105.81085858556912,1602.8806430758052,1162.2391454832743,1606.2779863950466,-6818.317500000001,9103.643035999998,-65.37699999999995,726.9750000000001,1658.1823775999962,2373.807810599997,4613.425741250001
2025,wind_offshore,8759,-79.77044071811852,708.6879153318339,512.1075302260531,713.1230923445205,-2953.6600000000003,4434.2525000000005,-57.75049999999999,262.7279999999999,691.1910499999994,1053.92435,2066.7441000000003
2025,load,8759,395.8834034287018,2430.213161798337,1933.0998791012105,2462.109950897397,-8838.333149249993,10510.819331500004,461.7907500000001,1892.3652975000007,3407.7358531999994,4498.547349999995,6519.935315000003
